simulating fixed probability counter with p=0.5 20 times for test chain of size 5000
Exact occurrences of the chain:
r: 1789
o: 992
i: 477
a: 403
e: 373
m: 249
g: 223
u: 137
f: 128
l: 117
d: 112

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   924              1848          1789                1            1  103.29793180547793%                59  3.297931805477921%
o                   478               956           992                2            2  96.37096774193549%                 36  3.6290322580645165%
i                   250               500           477                3            3  104.82180293501048%                23  4.821802935010482%
e                   195               390           373                4            5  104.55764075067025%                17  4.557640750670242%
a                   189               378           403                5            4  93.79652605459057%                 25  6.20347394540943%
m                   131               262           249                6            6  105.22088353413655%                13  5.220883534136546%
g                   106               212           223                7            7  95.06726457399103%                 11  4.932735426008969%
u                    81               162           137                8            8  118.24817518248176%                25  18.248175182481752%
d                    65               130           112                9           11  116.07142857142858%                18  16.071428571428573%
f                    62               124           128               10            9  96.875%                             4  3.125%
l                    61               122           117               11           10  104.27350427350429%                 5  4.273504273504273%

